folder_name,pdf_name,coordinates
File 1,AdityaBirlaRenewablesSolarLtd-21MW.pdf,76.499333E
File 1,Boreas-175MW.pdf,14.749970N; 76.429936E; 14.757725N; 76.430024E; 14.779250N; 76.444090E; 14.780139N; 76.459331E; 14.778709N; 76.471045E; 76.459779E; 76.468410E; 14.786468N; 76.457701E; 14.775847N; 14.770010N; 14.776624N; 76.456307E; 14.752782N; 14.760938N; 76.429358E; 14.703531N; 76.499652E; 14.745675N; 76.433141E; 76.441741E; 14.757650N; 76.463751E; 76.468979E; 76.473204E; 14.772380N; 76.482651E; 14.763203N; 76.484400E; 14.759375N; 76.486510E; 76.476824E; 14.745871N; 76.475245E; 76.495570E; 14.751890N; 76.490992E; 14.743844N; 76.495405E; 14.755634N; 76.475097E; 76.487619E; 14.749531N; 76.451176E; 14.753116N; 76.464631E; 14.722384N; 76.506886E; 14.731998N; 76.477891E; 14.732522N; 76.465125E; 14.740560N; 76.473212E; 14.740776N; 76.497325E; 14.742159N; 76.459124E; 14.735817N; 76.465871E; 14.734621N; 14.769580N; 14.759973N; 76.389102E; 14.766028N; 76.389178E; 14.760994N; 76.373958E; 14.784204N; 76.380412E; 14.787670N; 76.381270E; 14.772403N; 76.403729E; 14.781486N; 76.384548E; 14.747078N; 76.406344E; 14.763190N; 76.387618E; 14.783358N; 76.394806E; 14.769314N; 76.385465E
File 1,CleanMaxTheIaPvtLtd-61-3MW.pdf,14.637906N; 14.611769N; 14.647292N; 76.405286E; 14.639103N; 76.397556E; 14.617928N; 76.395908E; 76.391328E; 14.643478N; 76.426161E; 14.640792N; 76.430703E; 14.643864N; 76.439636E; 14.636300N; 76.438231E; 14.553392N; 76.470636E; 14.637906N; 76.392444E; 14.611769N; 76.392269E; 14.647292N; 76.405286E; 14.639103N; 76.397556E; 76.395908E; 76.391328E; 76.395319E; 14.617928N; 14.619169N; 14.646158N; 14.643478N; 14.640792N; 76.430703E; 14.636300N; 76.438231E; 14.553392N; 76.470636E
File 1,CMESJupiterPvtLtd-127MWto150-3MW.pdf,76.439414E
File 1,Integrum Energy Infrastructure pvt ltd 25 MW.pdf,
File 1,JSW Renew Energy Ltd 20-4.pdf,
File 1,JSW Renew Energy Ltd 28 MW.pdf,
File 1,JSW Renew Energy Ltd 45 MW.pdf,14.492750N; 76.007167E; 14.473528N; 14.454333N; 76.008167E; 14.437944N; 76.007806E; 14.416694N; 14.483639N; 14.463917N; 76.029250E; 14.447111N; 76.055806E; 14.475778N; 76.056972E; 76.055167E; 14.439583N; 14.420639N; 76.059861E; 76.057722E; 14.491472N; 76.086806E; 14.468389N; 76.088389E; 14.444972N; 76.089250E; 14.377833N; 14.366833N; 76.073306E; 76.072167E; 14.378472N; 76.085417E; 14.368500N; 76.103083E; 14.356861N; 76.109833E; 14.405722N; 76.087667E; 14.394472N; 14.380389N; 76.117361E; 14.368528N; 14.434972N; 14.419778N; 76.114083E; 14.408250N; 76.120694E; 14.394944N; 76.141278E; 14.378972N; 14.408194N; 76.173750E; 14.401306N; 76.184389E; 14.391167N; 76.177750E; 76.189639E; 14.376139N; 76.194917E; 14.365556N; 76.193000E; 76.173556E; 14.492750N; 14.473528N; 76.008778E; 14.454333N; 76.008167E; 14.437944N; 76.007806E; 14.416694N; 76.009417E; 14.483639N; 14.463917N; 14.447111N; 76.029250E; 76.029972E; 14.429111N; 14.405778N; 76.028111E; 76.055806E; 14.475778N; 76.056972E; 14.455222N; 76.055167E; 14.439583N; 76.057417E; 14.420639N; 76.059861E; 14.401750N; 76.086806E; 14.468389N; 76.088389E; 14.444972N; 76.089972E; 14.427306N; 14.380389N; 76.117361E; 14.368528N; 76.126889E; 14.388528N; 76.059083E; 76.073306E; 14.355611N; 76.087444E; 14.390306N; 76.072167E; 14.378472N; 76.085417E; 14.368500N; 76.103083E; 14.356861N; 76.109833E; 14.405722N; 76.087667E; 14.394472N; 76.100639E; 76.110667E; 14.419778N; 76.114083E; 76.120694E; 14.378972N; 76.141278E; 14.408194N; 76.173750E; 14.401306N; 76.184389E; 14.391167N; 14.384889N; 76.189639E; 14.376139N; 76.194917E; 14.365556N; 76.193000E; 76.173556E
File 1,JSWGreenHydrogenLtd-81MW(1).pdf,76.376079E; 76.370749E; 14.776533N; 76.373051E; 14.773329N; 76.369479E; 14.768116N; 76.389878E; 14.778209N; 76.378610E; 14.770991N; 76.388319E; 14.769776N; 176.408582E; 14.765811N; 76.386247E; 14.782877N; 76.400023E; 14.776918N; 76.402143E; 14.769864N; 76.442414E; 14.782903N; 76.448243E; 14.777841N; 76.431369E; 14.773002N; 76.420995E; 14.770589N; 76.423264E; 14.765278N; 76.451597E; 14.791957N; 76.455972E; 14.787644N; 76.457003E; 14.783444N; 76.462293E; 14.791003N; 76.468142E; 14.787811N; 76.382704E; 14.792570N; 76.392235E; 76.430362E; 76.376079E; 76.370749E; 14.776533N; 76.373051E; 14.773329N; 76.369479E; 14.768116N; 76.389878E; 76.408582E; 14.765811N; 14.765821N; 76.448243E; 14.777841N; 76.420995E; 76.423264E; 14.765278N; 76.451597E; 14.791957N; 76.455972E; 14.787644N; 76.457003E; 14.783444N; 76.462293E; 14.791003N; 76.468142E; 14.787811N; 76.382704E; 76.392235E; 14.812733N; 76.430362E; 14.786594N
file 2,JSWRenewableEnergy(Vijayanagar)Limited-270MW.pdf,14.991283N; 76.502615E; 14.987703N; 76.501418E; 14.961834N; 76.615368E; 14.924402N; 76.506128E; 76.625720E; 76.555909E; 76.572705E; 14.901211N; 14.957857N; 76.503804E; 14.947706N; 76.509916E; 14.941547N; 14.929149N; 176.519584E; 14.920930N; 76.509022E; 14.949609N; 14.944453N; 76.538219E; 14.937096N; 14.940320N; 76.543842E; 14.936655N; 76.576296E; 14.928507N; 76.558500E; 76.568199E; 14.913721N; 76.568971E; 14.910151N; 76.572979E; 14.936730N; 14.933561N; 14.917890N; 76.581838E; 14.903056N; 76.583468E; 14.915656N; 76.518011E; 14.972969N; 176.517958E; 14.964372N; 76.505979E; 14.960942N; 176.506503E; 14.967533N; 76.513085E; 14.973314N; 14.964531N; 14.968879N; 176.529477E; 14.959673N; 76.530174E; 14.961653N; 14.953155N; 76.529012E; 76.548474E; 76.629723E; 76.628731E; 76.602420E; 76.619590E; 76.637081E; 76.628664E; 76.598506E; 76.639959E; 76.516113E; 76.536847E; 14.938955N; 76.499164E; 14.935155N; 76.499667E; 76.496879E; 76.439230E; 14.992806N; 76.441914E; 76.462746E; 14.971085N; 76.460420E; 76.453557E; 76.451621E; 76.469347E; 14.991372N; 76.458921E; 14.980146N; 76.472486E; 14.966239N; 14.956313N; 176.469292E; 76.471325E; 14.942993N; 14.939011N; 14.933040N; 76.470426E; 76.475381E; 14.913517N; 14.918586N; 14.986790N; 14.994025N; 14.893641N; 14.889749N; 176.504585E; 76.500633E; 14.876876N; 14.879772N; 76.503038E; 14.991283N; 76.502615E; 14.987703N; 76.501418E; 14.961834N; 76.615368E; 14.924402N; 76.506128E; 76.625720E; 76.513719E; 14.908642N; 14.901211N; 76.555909E; 76.572705E; 14.955112N; 76.503804E; 14.951639N; 76.502859E; 14.947706N; 76.509916E; 14.941658N; 76.508711E; 14.929149N; 76.519584E; 14.920930N; 14.949609N; 76.536220E; 14.944453N; 14.937096N; 176.531334E; 14.940320N; 4.940572N; 76.560075E; 14.936655N; 76.558500E; 14.923931N; 76.568199E; 14.920071N; 14.913721N; 76.568971E; 14.910151N; 14.936730N; 14.933561N; 14.917890N; 14.903056N; 76.583468E; 14.915656N; 14.972969N; 76.517958E; 14.964372N; 14.960942N; 76.506503E; 14.957857N; 76.515184E; 14.967533N; 76.513085E; 76.529477E; 14.961653N; 76.519301E; 14.959673N; 14.953155N; 76.529012E; 14.929645N; 76.534535E; 14.953602N; 76.548474E; 14.955341N; 76.562636E; 14.959919N; 76.588170E; 14.963115N; 76.629723E; 14.951137N; 76.628731E; 14.966327N; 76.612585E; 14.970589N; 76.619590E; 14.971097N; 14.945995N; 76.628664E; 14.970900N; 76.598506E; 14.959544N; 76.639959E; 14.994864N; 14.894036N; 76.536847E; 14.874916N; 76.573449E; 14.938955N; 76.499164E; 14.943218N; 76.496879E; 14.992806N; 14.971085N; 76.460420E; 14.977691N; 76.453557E; 76.439906E; 14.997041N; 76.469347E; 14.985801N; 76.458921E; 14.980146N; 76.472486E; 14.966239N; 76.462080E; 14.956313N; 176.469292E; 14.949024N; 76.471325E; 14.942993N; 76.461792E; 14.939011N; 176.469648E; 14.933040N; 76.470426E; 14.919469N; 76.483074E; 14.918586N; 76.490183E; 76.484889E; 14.994025N; 76.492498E; 14.893641N; 76.502410E; 14.889749N; 176.504585E; 14.882716N; 76.500633E; 14.876876N; 14.879772N; 14.927661N
